token,display_name,body_area,ambiguous,note
abdominal_cramps,Stomach cramps,Abdomen,False,
abdominal_discomfort,Stomach discomfort,Abdomen,False,
abdominal_pain,Stomach pain,Abdomen,False,
abdominal_rigidity,Belly feels hard and stiff,Abdomen,True,Clinical sign (guarding); lay users may not recognise 'rigidity' — display name simplifies but reachability depends on user noticing it
anal_itching,Itching around the bottom,Pelvis,True,"Sensitive/embarrassing symptom, users may under-report"
animal_bite,Bitten by an animal,Skin,False,
back_pain,Back pain,Back,False,
backache,Back ache,Back,True,"Duplicate of back_pain in effect — near-identical token, may confuse token selection"
bad_breath,Bad breath,Head,False,
bilateral_oedema,Swelling in both feet/legs,Legs,True,Token doesn't state location; clinical term for symmetric swelling (malnutrition sign) — lay users say 'my legs are swollen'
bite_mark,Mark left by a bite,Skin,False,
bleeding,Bleeding,General,True,No location specified — could be anywhere; very generic token
bleeding_gums,Bleeding gums,Head,False,
blistering,Blisters on the skin,Skin,False,
bloating,Bloated stomach,Abdomen,False,
blood_in_stool,Blood in stool,Abdomen,False,
blood_in_urine,Blood in urine,Pelvis,False,
blurred_vision,Blurry vision,Head,False,
body_pain,Pain all over the body,General,False,
boils,Boils on the skin,Skin,False,
bowel_changes,Change in toilet habits (bowel movements),Abdomen,True,Vague clinical umbrella term — unclear what change means to a lay user
breathlessness,Shortness of breath,Chest,True,Near-duplicate of shortness_of_breath/difficulty_breathing — three tokens mean almost the same thing
bruising,Bruising,Skin,False,
charred_skin,Burnt / charred skin,Skin,False,
chest_discomfort,Discomfort in the chest,Chest,False,
chest_indrawing,Skin pulling in between the ribs when breathing,Chest,True,"Key paediatric danger sign but the term itself is clinical — needs an illustration/description, not just text, to be reachable"
chest_pain,Chest pain,Chest,False,
chest_tightness,Tightness in the chest,Chest,False,
chills,Chills / feeling cold with fever,General,False,
chronic_cough,Cough lasting more than 2-3 weeks,Chest,False,
chronic_diarrhoea,Diarrhoea lasting more than 2 weeks,Abdomen,False,
cloudy_urine,Cloudy urine,Pelvis,False,
confusion,Confusion / not thinking clearly,Head,False,
constipation,Constipation,Abdomen,False,
convulsions,Fits / convulsions,Head,True,Whole-body event but brain-driven; some users may look under General instead of Head
cough,Cough,Chest,False,
dark_urine,Dark-coloured urine,Pelvis,False,
dehydration,"Signs of dehydration (very thirsty, dry mouth, sunken eyes)",General,True,Umbrella clinical term — needs the expanded description to be meaningful to a lay user
diarrhoea,Diarrhoea / watery stool,Abdomen,False,
